date,median,lower,upper,observed
2020-08-16,537.5835658993406,450.28383503644426,620.7559075782035,549
2020-08-17,535.5973787629425,448.0389269259816,616.7813754473863,551
2020-08-18,530.1418824006406,444.80152629281486,613.7174870715685,538
2020-08-19,528.1263898275599,443.3598855958675,614.1172006344001,538
2020-08-20,520.7280870333898,438.0594211908841,606.3301893805827,541
2020-08-21,515.6703517649762,432.4269546859858,597.848396522611,541
2020-08-22,508.58477816561094,424.0343737750172,592.3008876166292,537
2020-08-23,499.03413140798494,416.28735076823125,582.856161339077,537
2020-08-24,490.32718797887156,407.6603822782216,573.1270865138971,525
2020-08-25,480.9260768270985,398.5622514850418,564.8929026363425,524
2020-08-26,471.22269637635935,388.56410956679935,555.8990673463555,516
2020-08-27,461.92833550243444,376.5604412840285,544.8617766132217,513
2020-08-28,452.0378000074156,368.9209163481783,536.6826480585901,497
2020-08-29,443.013751982568,357.18079161148233,531.0885812822962,508
2020-08-30,433.4996465903704,352.24430190284164,519.6370818798916,524
2020-08-31,424.5231935232022,340.75745544270734,511.16892953908973,513
2020-09-01,419.3340868208922,334.8654711235796,500.79307147283635,495
2020-09-02,412.4935794930947,330.8110554370059,494.12492500163216,479
2020-09-03,408.2141936664272,323.94444718147207,494.1225048870943,466
2020-09-04,403.66454518625744,319.9156733290279,489.2049073679401,442
2020-09-05,399.17952973323474,316.23452387798784,484.8733871632821,458
2020-09-06,398.7507825762287,316.0265708173346,483.799403146408,485
2020-09-07,395.5896103329183,312.657618898051,480.21304437558985,484
2020-09-08,395.7618566931344,312.0457317747042,481.71305691906025,487
2020-09-09,396.9474383746351,310.73160297793925,482.4874127302814,476
2020-09-10,397.8704345822108,314.41766094311157,480.1395451000312,462
2020-09-11,398.39056044887957,313.6745467931607,483.37251087025777,450
2020-09-12,403.7249354083732,316.5011342925675,487.2834838519631,461
2020-09-13,406.45812115595265,324.3383768842465,491.865958430082,467
2020-09-14,411.50723043655944,324.1849998511298,493.91207000330513,483
2020-09-15,413.61534574651296,329.60352943983156,497.7408200495949,473
2020-09-16,420.0501887447534,335.18184268151015,503.53739982386503,469
2020-09-17,420.6877112072535,335.3784374825633,506.5207372825868,473
2020-09-18,426.6478453992329,345.65655548727193,507.30166917453613,459
2020-09-19,427.777352968717,342.6796120953286,510.56534714219686,470
2020-09-20,430.6802638981592,345.58391009832064,512.1621479109755,489
2020-09-21,431.0384546268766,348.95809464588484,515.844959972256,505
2020-09-22,430.2188577706516,345.8930678968792,513.8784189730695,493
2020-09-23,430.5597798560258,344.3040432153677,515.5175824033547,476
2020-09-24,428.5568025358692,342.87968081560564,511.5020786703386,466
2020-09-25,428.736252935589,347.0719672518115,512.644425254077,450
2020-09-26,428.99834094232926,341.97184684500917,511.02741913792477,470
2020-09-27,428.3704757870754,342.04054915189414,511.7454425839503,484
2020-09-28,425.90416227573695,343.84827012405935,509.2283148261757,463
2020-09-29,424.2229396421793,343.9971622486585,511.0496411075171,421
2020-09-30,423.89100385436507,340.340038334463,512.9635717263205,433
2020-10-01,423.2885896441149,338.4172103600527,507.45415063207474,424
2020-10-02,424.21673244551164,339.3337962661182,510.88626070812336,411
2020-10-03,426.6609656451702,343.6071714951653,510.268066803121,425
2020-10-04,427.20568230324375,340.57762669138907,509.81531839018294,452
2020-10-05,427.3276781361682,341.8461032396259,512.3985948827509,422
2020-10-06,432.45774557847403,345.88695292691796,512.781990349409,422
2020-10-07,435.3538684240089,353.2478806816585,518.1093737209158,432
2020-10-08,443.27351162428056,359.6311496916809,528.4399108017157,432
2020-10-09,452.70602174533093,369.2404637594534,539.1205211860546,412
2020-10-10,462.3393048525795,378.8290388624147,547.2437165025813,410
2020-10-11,470.47620480734486,386.1483640816664,552.9602078632021,431
